"학적상태","입학년도","입학학기","졸업년도","졸업학기","대학코드","수료년도","수료학기","국적","생년월일","학과코드","군대상태","대학","학과","다전공종류","이중전공","융합전공","입학유형","입학구분","성별","캠퍼스구분","나이","Id","isoIndex"
"졸업",2014,"1R",2019,"2R",140,2019,"1R","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","","정시_수능","정원내신입학","여",1,20,39326,NA
"졸업",2014,"1R",2019,"2R",140,NA,"","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","융합보안융합전공","수시_학생부교과","정원내신입학","여",1,20,39327,NA
"졸업",2014,"1R",2019,"2R",140,2018,"2R","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","","정시_기회균등","정원외신입학","여",1,20,39328,NA
"졸업",2014,"1R",2019,"2R",140,2018,"2R","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","","수시_학생부교과","정원내신입학","여",1,20,39329,NA
"졸업",2014,"1R",2019,"2R",140,NA,"","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","","정시_기회균등","정원외신입학","남",1,20,39330,NA
"졸업",2014,"1R",2019,"2R",140,2019,"1R","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","패션디자인및머천다이징융합전공","정시_수능","정원내신입학","여",1,20,39331,NA
"졸업",2014,"1R",2019,"2R",140,NA,"","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","","정시_수능","정원내신입학","여",1,20,39332,NA
"졸업",2014,"1R",2019,"2R",140,2019,"1R","KOR",1995,142,NA,"경영대학","경영학과","이중전공","통계학과","","수시_학생부교과","정원내신입학","여",1,20,39333,NA
"졸업",2014,"1R",2019,"2R",140,NA,"","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","","수시_학생부교과","정원내신입학","여",1,20,39334,NA
"졸업",2014,"1R",2019,"2R",140,2018,"1R","KOR",1995,142,NA,"경영대학","경영학과","심화전공","","","정시_수능","정원내신입학","여",1,20,39335,NA
"졸업",2014,"1R",2019,"2R",140,2019,"1R","KOR",1995,142,NA,"경영대학","경영학과","이중전공","국제학부","","글로벌인재","정원내신입학","여",1,20,39336,NA
"졸업",2014,"2R",2019,"2R",140,NA,"","CHN",1994,142,NA,"경영대학","경영학과","이중전공","일어일문학과","","외국인","정원외신입학","여",1,21,39337,NA
"졸업",2014,"2R",2019,"2R",140,2019,"1R","CHN",1994,142,NA,"경영대학","경영학과","이중전공","중어중문학과","","외국인","정원외신입학","남",1,21,39338,NA
"졸업",2014,"2R",2019,"2R",140,NA,"","CHN",1981,142,NA,"경영대학","경영학과","이중전공","중어중문학과","","외국인","정원외신입학","남",1,34,39339,NA
"졸업",2014,"2R",2019,"2R",140,2018,"2R","KOR",1996,142,NA,"경영대학","경영학과","심화전공","","","순수정원외(=12년과정)","정원외신입학","여",1,19,39340,NA
"졸업",2016,"1R",2019,"2R",140,NA,"","CHN",1993,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외편입학","여",1,24,39341,NA
